date,company,position,location,tags,remote,experience_level,experience_years,english_level,url
2026-02-09T21:07:41.208084,Postulado,Ingeniero de Redes LAN y Cisco ACI,,"java, software",False,,4,,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-de-redes-lan-y-cisco-aci-presencial-en-bogota-en-bogota-dc-4142ED7B377D0A2061373E686DCF3405#lc=ListOffers-Score0-16
2026-02-09T21:07:43.988408,Postulado,"Ingeniero civil, experiencia en estructura  Palmira",,software,False,,5,,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-civil-experiencia-en-estructura-palmira-en-palmira-BC989D9ECE91B84461373E686DCF3405#lc=ListOffers-Score0-17
2026-02-09T21:07:46.670602,Postulado,Ingeniero DevOps,,"cloud, aws, azure, react, software, backend",True,,3,,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-devops-en-medellin-CE3DCD1DF3C1333661373E686DCF3405#lc=ListOffers-Score0-18
2026-02-09T21:07:49.609257,Postulado,Ingeniero de preventa senior  (VoIP/Telecom) / remoto,,"java, cloud, aws, software",True,senior,5,,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-de-preventa-senior-voiptelecom-remoto-bogota-en-bogota-dc-3C3C8B5D1C022B3F61373E686DCF3405#lc=ListOffers-Score0-19
2026-02-09T21:15:49.898112,Postulado,Analista de Operaciones / Enfoque en Análisis de Datos,,,False,,35,,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-operaciones-enfoque-en-analisis-de-datos-en-bogota-dc-3C7912A8B06A08A861373E686DCF3405#lc=ListOffers-Score4-0
2026-02-09T21:15:52.691605,Postulado,Analista de gestión de bases de datos para personas con y sin discapacidad,,software,False,,,,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-gestion-de-bases-de-datos-para-personas-con-y-sin-discapacidad-en-envigado-D19B383E3AF868AD61373E686DCF3405#lc=ListOffers-Score4-1
2026-02-09T21:15:55.538987,Empleo destacado,Analista de Datos,Postulado,cloud,True,,2,,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-datos-logistica-en-cali-BCA796400736E3E361373E686DCF3405#lc=ListOffers-Score4-2
2026-02-09T21:15:58.329818,Postulado,Analista de Datos,,software,False,,3,,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-datos-de-la-informacion-en-medellin-06A9217D8EE7FE1C61373E686DCF3405#lc=ListOffers-Score4-3
2026-02-09T21:16:01.103794,Postulado,Analista de gestión de bases de datos para personas con y sin discapacidad,,software,False,,,,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-gestion-de-bases-de-datos-para-personas-con-y-sin-discapacidad-en-envigado-A606CC4C028B09F161373E686DCF3405#lc=ListOffers-Score4-4
2026-02-09T21:16:03.960828,Se precisa Urgente,Analista de Datos,Empleo destacado,"python, sql, cloud",False,,3,,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-datos-en-palmira-BCA07832CDF80BD561373E686DCF3405#lc=ListOffers-Score4-5
